,,単語,意味,フレーズ,訳,英作問題,和訳問題,
490 ,,instruction,指示,follow his instructions,彼の指示に従う,follow his (    ),彼の(    )に従う,
491 ,,crisis,危機,get over the economic crisis,経済危機を乗り越える,get over the economic (    ),経済(    )を乗り越える,
492 ,,instrument,道具,a dentist's instrument,歯医者の道具,a dentist's (    ),歯医者の(    ),
493 ,,crop,作物,grow various crops,さまざまな作物を育てる,grow various (    ),さまざまな(    )を育てる,
494 ,,weapon,兵器,a laser weapon,レーザー兵器,a laser (    ),レーザー(    ),
495 ,,device,装置,an electronic device,電子装置,an electronic (    ),電子(    ),
496 ,,path,道,the path to victory,勝利への道,the (    ) to victory,勝利への(    ),
497 ,,earthquake,地震,predict earthquakes,地震を予知する,predict (    ),(    )を予知する,
498 ,,stream,小川,a clear mountain stream,きれいな山の小川,a clear mountain (    ),きれいな山の(    ),
499 ,,notion,概念,the notion of freedom,自由の概念,the (    ) of freedom,自由の(    ),
500 ,,yard,庭,a tree in the yard,庭の木,a tree in the (    ),(    )の木,
501 ,,victim,犠牲者,victims of the war,戦争の犠牲者,(    ) of the war,戦争の(    ),
502 ,,fuel,燃料,run out of fuel,燃料を使い果たす,run out of (    ),(    )を使い果たす,
503 ,,ancestor,祖先,the common ancestors of all humans,すべての人類の共通の祖先,the common (    ) of all humans,すべての人類の共通の(    ),
504 ,,soil,土壌,the rich soil of the Nile River,ナイル川の豊かな土壌,the rich (    ) of the Nile River,ナイル川の豊かな(    ),
505 ,,debate,討論,a debate on education,教育についての討論,a (    ) on education,教育についての(    ),
506 ,,crime,犯罪,a violent crime,凶悪犯罪,a violent (    ),凶悪(    ),
507 ,,colleague,同僚,my friends and colleagues,私の友人と同僚,my friends and (    ),私の友人と(    ),
508 ,,shelf,たな,take a book from the shelf,たなから本を取る,take a book from the (    ),(    )から本を取る,
509 ,,analysis,分析,analysis of DNA,DNAの分析,(    ) of DNA,DNAの(    ),
510 ,,universe,宇宙,stars in the universe,宇宙の星,stars in the (    ),(    )の星,
511 ,,electricity,電気,a machine run by electricity,電気で動く機械,a machine run by (    ),(    )で動く機械,
512 ,,insect,昆虫,social insects like ants,アリのような社会性昆虫,social (    ) like ants,アリのような社会性(    ),
513 ,,web,巣,be caught in a spider's web,クモの巣にかかる,be caught in a spider's (    ),クモの(    )にかかる,
514 ,,storm,嵐,a heavy storm,激しい嵐,a heavy (    ),激しい(    ),
515 ,,plenty,十分な,have plenty of time,十分な時間がある,have (    ) of time,(    )時間がある,
516 ,,agriculture,農業,land suitable for agriculture,農業に向いた土地,land suitable for (    ),(    )に向いた土地,
517 ,,gene,遺伝子,the gene for eye color,目の色を決める遺伝子,the (    ) for eye color,目の色を決める(    ),
518 ,,evidence,証拠,evidence of life on Mars,火星に生物がいるという証拠,(    ) of life on Mars,火星に生物がいるという(    ),
519 ,,consequence,結果,have serious consequences,重大な結果をまねく,have serious (    ),重大な(    )をまねく,
520 ,,infant,幼児,the mother-infant relationship,母親と幼児の関係,the mother-(    ) relationship,母親と(    )の関係,
521 ,,leisure,暇,have no leisure time for sports,スポーツをする暇がない,have no (    ) time for sports,スポーツをする(    )がない,
522 ,,cell,細胞,the gray cells of the brain,灰色の脳細胞,the gray (    ) of the brain,灰色の脳(    ),
523 ,,talent,才能,have musical talent,音楽の才能がある,have musical (    ),音楽の(    )がある,
524 ,,advertising,広告,newspaper advertising,新聞広告,newspaper (    ),新聞(    ),
525 ,,extent,程度,increase to some extent,ある程度まで増える,increase to some (    ),ある(    )まで増える,
526 ,,garbage,ゴミ,take out garbage,ゴミを出す,take out (    ),(    )を出す,
527 ,,general,一般,the general public,一般大衆,the (    ) public,(    )大衆,
528 ,,various,さまざまな,various kinds of flowers,さまざまな種類の花,(    ) kinds of flowers,(    )種類の花,
529 ,,similar,似ている,be similar to each other,お互いに似ている,be (    ) to each other,お互いに(    ),
530 ,,complete,完全な,a complete failure,完全な失敗,a (    ) failure,(    )失敗,
531 ,,sharp,急激な,a sharp rise in prices,物価の急激な上昇,a (    ) rise in prices,物価の(    )上昇,
532 ,,expensive,高価な,an expensive restaurant,高価なレストラン,an (    ) restaurant,(    )レストラン,
533 ,,political,政治的な,a political leader,政治的な指導者,a (    ) leader,(    )指導者,
534 ,,aware,気づいている,be aware of the danger,危険に気づいている,be (    ) of the danger,危険に(    ),
535 ,,ancient,古代の,ancient Greece and Rome,古代のギリシャとローマ,(    ) Greece and Rome,(    )ギリシャとローマ,
536 ,,medical,医学の,a medical study,医学の研究,a (    ) study,(    )研究,
537 ,,essential,不可欠だ,Water is essential to life.,水は生命に不可欠だ,Water is (    ) to life.,水は生命に(    ),
538 ,,huge,巨大な,a huge city,巨大な都市,a (    ) city,(    )都市,
539 ,,terrible,ひどい,a terrible accident,ひどい事故,a (    ) accident,(    )事故,
540 ,,practical,実用的な,practical English,実用的な英語,(    ) English,(    )英語,
541 ,,entire,全,the entire world,全世界,the (    ) world,(    )世界,
542 ,,favorite,いちばん好きな,my favorite food,私のいちばん好きな食べ物,my (    ) food,私の(    )食べ物,
543 ,,comfortable,快適な,enjoy a comfortable life,快適な生活を楽しむ,enjoy a (    ) life,(    )生活を楽しむ,
544 ,,minor,小さい,a minor problem,小さい問題,a (    ) problem,(    )問題,
545 ,,typical,典型的な,a typical American family,典型的なアメリカの家族,a (    ) American family,(    )アメリカの家族,
546 ,,ideal,理想的な,an ideal place to live,生活するのに理想的な土地,an (    ) place to live,生活するのに(    )土地,
547 ,,principal,主要な,the principal cities of Europe,ヨーロッパの主要な都市,the (    ) cities of Europe,ヨーロッパの(    )都市,
548 ,,appropriate,適切な,the most appropriate word,最も適切な単語,the most (    ) word,最も(    )単語,
549 ,,empty,からの,an empty bottle,からのビン,an (    ) bottle,(    )ビン,
550 ,,rapid,急速な,rapid economic growth,急速な経済成長,(    ) economic growth,(    )経済成長,
551 ,,mental,精神の,a mental illness,精神の病,a (    ) illness,(    )病,
552 ,,excellent,すばらしい,an excellent idea,すばらしいアイディア,an (    ) idea,(    )アイディア,
553 ,,convenient,都合がいい,when it's convenient for you,君の都合がいいときに,when it's (    ) for you,君の(    )ときに,
554 ,,potential,潜在的な,potential danger,潜在的な危険,(    ) danger,(    )危険,
555 ,,financial,財政的,financial support from the US,アメリカからの財政的援助,(    ) support from the US,アメリカからの(    )援助,
556 ,,enormous,ばく大な,an enormous amount of damage,ばく大な額の損害,an (    ) amount of damage,(    )額の損害,
557 ,,rare,珍しい,a rare stamp,珍しい切手,a (    ) stamp,(    )切手,
558 ,,artificial,人工,artificial intelligence,人工知能（AI）,(    ) intelligence,(    )知能（AI）,
559 ,,tiny,ちっちゃな,a tiny kitten,ちっちゃな子猫,a (    ) kitten,(    )子猫,
560 ,,considerable,かなりの,spend considerable time,かなりの時間を費やす,spend (    ) time,(    )時間を費やす,
561 ,,sensitive,敏感だ,Her skin is sensitive to sunlight.,彼女の肌は日光に敏感だ,Her skin is (    ) to sunlight.,彼女の肌は日光に(    ),
562 ,,intellectual,知的,high intellectual ability,高度な知的能力,high (    ) ability,高度な(    )能力,
563 ,,thirsty,のどが渇く,Salty food makes you thirsty.,塩分の多い食事でのどが渇く,Salty food makes you (    ).,塩分の多い食事で(    ),
564 ,,polite,礼儀正しい,be polite to ladies,女性に対して礼儀正しい,be (    ) to ladies,女性に対して(    ),
565 ,,accurate,正確な,accurate information,正確な情報,(    ) information,(    )情報,
566 ,,rude,失礼な,rude behavior,失礼な振る舞い,(    ) behavior,(    )振る舞い,
567 ,,sufficient,十分な,pay sufficient attention,十分な注意を払う,pay (    ) attention,(    )注意を払う,
568 ,,urban,都会の,urban life,都会の暮らし,(    ) life,(    )暮らし,
569 ,,temporary,一時的な,temporary loss of memory,一時的な記憶喪失,(    ) loss of memory,(    )記憶喪失,
570 ,,primitive,原始的な,a primitive society,原始的な社会,a (    ) society,(    )社会,
571 ,,permanent,永久,permanent teeth,永久歯,(    ) teeth,(    )歯,
572 ,,elderly,高齢,the care of elderly people,高齢者のケア,the care of (    ) people,(    )者のケア,
573 ,,severe,厳しい,severe winter weather,厳しい冬の天候,(    ) winter weather,(    )冬の天候,
574 ,,brief,簡潔な,a brief explanation,簡潔な説明,a (    ) explanation,(    )説明,
575 ,,mobile,流動的な,a mobile society,流動的な社会,a (    ) society,(    )社会,
576 ,,latest,最新の,the latest news from China,中国からの最新のニュース,the (    ) news from China,中国からの(    )ニュース,
577 ,,military,軍事的,military aid to Israel,イスラエルへの軍事的援助,(    ) aid to Israel,イスラエルへの(    )援助,
578 ,,strict,厳しい,strict rules,厳しい規則,(    ) rules,(    )規則,
579 ,,solid,固体の,a solid state,固体の状態,a (    ) state,(    )状態,
580 ,,stupid,ばかな,say stupid things,ばかなことを言う,say (    ) things,(    )ことを言う,
581 ,,biological,生物,biological weapons,生物兵器,(    ) weapons,(    )兵器,
582 ,,probably,おそらく,Probably he won't come.,おそらく彼は来ないだろう,(    ) he won't come.,(    )彼は来ないだろう,
583 ,,hardly,ない,I hardly know Bill.,ビルのことはほとんど知らない,I (    ) know Bill.,ビルのことはほとんど知ら(    ),
584 ,,immediately,すぐに,leave immediately after lunch,昼食後すぐに出発する,leave (    ) after lunch,昼食後(    )出発する,
585 ,,eventually,ついに,He eventually became President.,ついに彼は大統領になった,He (    ) became President.,(    )彼は大統領になった,
586 ,,frequently,しばしば,a frequently used word,しばしば使われる言葉,a (    ) used word,(    )使われる言葉,
587 ,,extremely,非常に,an extremely difficult problem,非常に難しい問題,an (    ) difficult problem,(    )難しい問題,
588 ,,gradually,だんだん,gradually become colder,だんだん冷たくなる,(    ) become colder,(    )冷たくなる,
589 ,,instantly,すぐに,instantly recognizable songs,すぐにそれとわかる歌,(    ) recognizable songs,(    )それとわかる歌,
590 ,,nevertheless,それにもかかわらず,He is rich; nevertheless he is unhappy.,彼は金持ちだが、それにもかかわらず、不幸だ,He is rich; (    ) he is unhappy.,彼は金持ちだが、(    )、不幸だ,
591 ,,moreover,その上,"He's kind; moreover, he's strong.",彼は親切で、その上強い,"He's kind; (    ), he's strong.",彼は親切で、(    )強い,
592 ,,relatively,比較的,relatively few people,比較的少数の人々,(    ) few people,(    )少数の人々,
593 ,,apparently,一見,an apparently simple question,一見簡単な問題,an (    ) simple question,(    )簡単な問題,
594 ,,definitely,絶対,I will definitely not marry you,絶対あなたとは結婚しない,I will (    ) not marry you,(    )あなたとは結婚しない,
595 ,,largely,主に,largely because of the problem,主にその問題のせいで,(    ) because of the problem,(    )その問題のせいで,
596 ,,mostly,大部分は,The class is mostly Japanese.,クラスの大部分は日本人だ,The class is (    ) Japanese.,クラスの(    )日本人だ,
597 ,,approximately,およそ,"approximately 10,000 years ago",およそ１万年前,"(    ) 10,000 years ago",(    )１万年前,
598 ,,overnight,一晩,stay overnight in his house,彼の家で一晩泊まる,stay (    ) in his house,彼の家で(    )泊まる,
599 ,,accidentally,偶然,accidentally discover an island,偶然島を発見する,(    ) discover an island,(    )島を発見する,
600 ,,despite,にもかかわらず,He lost despite his efforts.,努力にもかかわらず彼は負けた,He lost (    ) his efforts.,努力(    )彼は負けた,
601 ,,proceed,進む,proceed straight ahead,まっすぐに前に進む,(    ) straight ahead,まっすぐに前に(    ),
602 ,,ensure,を確保する,ensure the safety of drivers,ドライバーの安全を確保する,(    ) the safety of drivers,ドライバーの安全(    ),
603 ,,interpret,を解釈する,interpret the meaning of the word,その言葉の意味を解釈する,(    ) the meaning of the word,その言葉の意味(    ),
604 ,,cease,しなくなった,Some countries ceased to exist.,いくつかの国は存在しなくなった,Some countries (    ) to exist.,いくつかの国は存在(    ),
605 ,,ban,を禁ずる,ban smoking in public places,公共の場の喫煙を禁ずる,(    ) smoking in public places,公共の場の喫煙(    ),
606 ,,obey,に従う,obey the law,法に従う,(    ) the law,法(    ),
607 ,,eliminate,を無くす,eliminate the need for paper,紙の必要性を無くす,(    ) the need for paper,紙の必要性(    ),
608 ,,resist,抵抗する,resist pressure from above,上からの圧力に抵抗する,(    ) pressure from above,上からの圧力に(    ),
609 ,,accompany,に同伴する,accompany the president,大統領に同伴する,(    ) the president,大統領(    ),
610 ,,commit,を犯す,commit a crime,犯罪を犯す,(    ) a crime,犯罪(    ),
611 ,,pursue,を追い求める,pursue the American Dream,アメリカンドリームを追い求める,(    ) the American Dream,アメリカンドリーム(    ),
612 ,,demonstrate,を示す,demonstrate that it is impossible,それが不可能なことを示す,(    ) that it is impossible,それが不可能なこと(    ),
613 ,,bet,と思う,I bet you'll win.,きっと君は勝つと思う,I (    ) you'll win.,きっと君は勝つ(    ),
614 ,,ruin,を破滅させる,ruin his life,彼の人生を破滅させる,(    ) his life,彼の人生(    ),
615 ,,threaten,とおどす,threaten to tell the police,警察に言うとおどす,(    ) to tell the police,警察に言う(    ),
616 ,,attach,取り付けられた,a bookcase attached to the wall,壁に取り付けられた本棚,a bookcase (    ) to the wall,壁に(    )本棚,
617 ,,reverse,を逆転する,reverse the positions,立場を逆転する,(    ) the positions,立場(    ),
618 ,,restrict,を制限する,restrict freedom of speech,言論の自由を制限する,(    ) freedom of speech,言論の自由(    ),
619 ,,compose,構成されている,The body is composed of cells.,体は細胞で構成されている,The body is (    ) of cells.,体は細胞で(    ),
620 ,,lean,もたれる,lean against the wall,壁にもたれる,(    ) against the wall,壁に(    ),
621 ,,substitute,代わりに用いる,substitute margarine for butter,マーガリンをバターの代わりに用いる,(    ) margarine for butter,マーガリンをバターの(    ),
622 ,,trace,をたどる,trace human history,人類の歴史をたどる,(    ) human history,人類の歴史(    ),
623 ,,interrupt,をじゃまする,interrupt their conversation,彼らの会話をじゃまする,(    ) their conversation,彼らの会話(    ),
624 ,,confront,に立ち向かう,confront a difficult problem,困難な問題に立ち向かう,(    ) a difficult problem,困難な問題(    ),
625 ,,illustrate,を示す,This example illustrates his ability.,この例が彼の能力を示す,This example (    ) his ability.,この例が彼の能力(    ),
626 ,,arrest,逮捕する,arrest him tor speeding,スピード違反で彼を逮捕する,(    ) him tor speeding,スピード違反で彼を(    ),
627 ,,stimulate,を刺激する,stimulate the imagination,想像力を刺激する,(    ) the imagination,想像力(    ),
628 ,,assure,を保証する,assure you that you will win,君が勝つことを保証する,(    ) you that you will win,君が勝つこと(    ),
629 ,,consult,に相談して,consult a doctor for advice,医師に相談して助言を求める,(    ) a doctor for advice,医師(    )助言を求める,
630 ,,depress,憂うつで,feel too depressed to go out,憂うつで出かける気がしない,feel too (    ) to go out,(    )出かける気がしない,
631 ,,crash,激突する,crash into the wall,壁に激突する,(    ) into the wall,壁に(    ),
632 ,,inspire,気を起こさせる,inspire him to write a poem,彼に詩を書く気を起こさせる,(    ) him to write a poem,彼に詩を書く(    ),
633 ,,specialize,専攻する,specialize in Chinese history,中国史を専攻する,(    ) in Chinese history,中国史を(    ),
634 ,,cultivate,を栽培する,cultivate plants,植物を栽培する,(    ) plants,植物(    ),
635 ,,fulfill,果たす,fulfill the promise,約束を果たす,(    ) the promise,約束を(    ),
636 ,,transmit,を伝える,transmit messages,メッセージを伝える,(    ) messages,メッセージ(    ),
637 ,,found,を設立する,found a computer company,コンピュータ会社を設立する,(    ) a computer company,コンピュータ会社(    ),
638 ,,clap,をたたき,Clap your hands as you sing.,歌いながら手をたたきなさい,(    ) your hands as you sing.,歌いながら手(    )なさい,
639 ,,burst,出す,burst into tears,急に泣き出す,(    ) into tears,急に泣き(    ),
640 ,,bow,おじぎをする,bow to the queen,女王様におじぎをする,(    ) to the queen,女王様に(    ),
641 ,,dismiss,無視する,dismiss the idea as nonsense,その考えをばかばかしいと無視する,(    ) the idea as nonsense,その考えをばかばかしいと(    ),
642 ,,breed,繁殖させる,how to breed animals,動物を繁殖させる方法,how to (    ) animals,動物を(    )方法,
643 ,,prohibit,禁じる,prohibit children from working,子供が働くのを禁じる,(    ) children from working,子供が働くのを(    ),
644 ,,oblige,ざるをえない,be obliged to pay the price,対価を払わざるをえない,be (    ) to pay the price,対価を払わ(    ),
645 ,,qualify,適任である,qualify for the position,その地位に適任である,(    ) for the position,その地位に(    ),
646 ,,invest,を投資する,invest money in a business,ビジネスにお金を投資する,(    ) money in a business,ビジネスにお金(    ),
647 ,,grasp,を理解する,grasp what he is saying,彼の言うことを理解する,(    ) what he is saying,彼の言うこと(    ),
648 ,,collapse,崩壊した,The building collapsed.,建物が崩壊した,The building (    ).,建物が(    ),
649 ,,overlook,を見逃す,overlook the fact,事実を見逃す,(    ) the fact,事実(    ),
650 ,,accuse,非難する,accuse him of lying,彼がうそをついたと非難する,(    ) him of lying,彼がうそをついたと(    ),
651 ,,frustrate,欲求不満になる,be frustrated by the lack of money,金がなくて欲求不満になる,be (    ) by the lack of money,金がなくて(    ),
652 ,,deprive,を奪う,deprive him of the chance,彼からチャンスを奪う,(    ) him of the chance,彼からチャンス(    ),
653 ,,astonish,驚異的な,an astonishing memory,驚異的な記憶力,an (    ) memory,(    )記憶力,
654 ,,register,登録する,register a new car,新車を登録する,(    ) a new car,新車を(    ),
655 ,,correspond,一致する,The fact corresponds to my theory.,その事実は私の理論と一致する,The fact (    ) to my theory.,その事実は私の理論と(    ),
656 ,,cast,投げかける,cast a shadow on the wall,壁に影を投げかける,(    ) a shadow on the wall,壁に影を(    ),
657 ,,attribute,のおかげだと思う,attribute success to luck,成功は幸運のおかげだと思う,(    ) success to luck,成功は幸運(    ),
658 ,,neglect,無視する,neglect human rights,人権を無視する,(    ) human rights,人権を(    ),
659 ,,starve,飢えた,feed starving children,飢えた子どもたちに食事を与える,feed (    ) children,(    )子どもたちに食事を与える,
660 ,,resolve,解決する,resolve disagreements,意見の不一致を解決する,(    ) disagreements,意見の不一致を(    ),
661 ,,impose,押しつける,impose rules on students,学生に規則を押しつける,(    ) rules on students,学生に規則を(    ),
662 ,,convert,転換する,convert sunlight into electricity,太陽の光を電気に転換する,(    ) sunlight into electricity,太陽の光を電気に(    ),
663 ,,scare,おびえさせた,The noise scares him.,その音が彼をおびえさせた,The noise (    ) him.,その音が彼を(    ),
664 ,,constitute,を占める,Cars constitute 10% of exports.,車が輸入の10%を占める,Cars (    ) 10% of exports.,車が輸入の10%(    ),
665 ,,appoint,任命される,be appointed to an important post,重要なポストに任命される,be (    ) to an important post,重要なポストに(    ),
666 ,,imply,を意味する,What does her smile imply?,彼女の微笑みは何を意味するのか,What does her smile (    )?,彼女の微笑みは何(    )のか,
667 ,,assign,割り当てる,assign work to each member,各メンバーに仕事を割り当てる,(    ) work to each member,各メンバーに仕事を(    ),
668 ,,nod,うなずいて,"nod and say ""yes""",うなずいて「はい」と言う,"(    ) and say ""yes""",(    )「はい」と言う,
669 ,,elect,選ばれる,be elected President,大統領に選ばれる,be (    ) President,大統領に(    ),
670 ,,transfer,転勤した,He was transferred to Osaka,彼は大阪に転勤した,He was (    ) to Osaka,彼は大阪に(    ),
671 ,,rob,奪う,"rob the bank of $50,000",銀行から5万ドル奪う,"(    ) the bank of $50,000",銀行から5万ドル(    ),
672 ,,capture,捕らえる,capture wild animals,野生動物を捕らえる,(    ) wild animals,野生動物を(    ),
673 ,,undertake,引き受ける,undertake the work,仕事を引き受ける,(    ) the work,仕事を(    ),
674 ,,drown,おぼれて,save a drowning child,おぼれている子供を救う,save a (    ) child,(    )いる子供を救う,
675 ,,split,分裂する,split into two groups,2つのグループに分裂する,(    ) into two groups,2つのグループに(    ),
676 ,,resort,訴える,resort to violence,暴力に訴える,(    ) to violence,暴力に(    ),
677 ,,descend,降りる,descend to the ground,地面に降りる,(    ) to the ground,地面に(    ),
678 ,,irritate,いらいらさせる,irritating noise,いらいらさせる騒音,(    ) noise,(    )騒音,
679 ,,pronounce,発音する,pronounce the word correctly,正確にその語を発音する,(    ) the word correctly,正確にその語を(    ),
680 ,,equip,装備されている,The car is equipped with AI.,その車はAIが装備されている,The car is (    ) with AI.,その車はAIが(    ),
681 ,,cheat,をだます,cheat consumers,消費者をだます,(    ) consumers,消費者(    ),
682 ,,emerge,出現した,A new problem has emerged.,新たな問題が出現した,A new problem has (    ).,新たな問題が(    ),
683 ,,devote,をささげた,He devoted himself to his work.,彼は仕事に身をささげた,He (    ) himself to his work.,彼は仕事に身(    ),
684 ,,heal,をいやす,Time heals all wounds.,時はすべての傷をいやす,Time (    ) all wounds.,時はすべての傷(    ),
685 ,,urge,を説得する,urge him to go home,帰宅するよう彼を説得する,(    ) him to go home,帰宅するよう彼(    ),
686 ,,envy,うらやむ,envy the rich,金持ちをうらやむ,(    ) the rich,金持ちを(    ),
687 ,,chase,追跡する,chase the car,その車を追跡する,(    ) the car,その車を(    ),
688 ,,prompt,促す,prompt him to speak,彼に話をするように促す,(    ) him to speak,彼に話をするように(    ),
689 ,,withdraw,引っ込める,withdraw my hand,手を引っ込める,(    ) my hand,手を(    ),
690 ,,detect,を発見する,how to detect lies,うそを発見する方法,how to (    ) lies,うそ(    )方法,
691 ,,interfere,じゃまする,interfere with his work,彼の仕事をじゃまする,(    ) with his work,彼の仕事を(    ),
692 ,,kid,冗談,You must be kidding.,冗談でしょう,You must be (    ).,(    )でしょう,
693 ,,launch,を発射する,launch a space shuttle,スペースシャトルを発射する,(    ) a space shuttle,スペースシャトル(    ),
694 ,,endanger,絶滅危惧,an endangered species,絶滅危惧種,an (    ) species,(    )種,
695 ,,foster,を養う,foster creativity,創造性を養う,(    ) creativity,創造性(    ),
696 ,,diminish,衰えた,His power diminished.,彼の力は衰えた,His power (    ).,彼の力は(    ),
697 ,,spill,こぼす,spill coffee on the keyboard,キーボードにコーヒーをこぼす,(    ) coffee on the keyboard,キーボードにコーヒーを(    ),
698 ,,infect,感染している,be infected with the virus,ウイルスに感染している,be (    ) with the virus,ウイルスに(    ),
699 ,,stem,由来する,stem from an ancient tradition,古い伝統に由来する,(    ) from an ancient tradition,古い伝統に(    ),
700 ,,tap,軽くたたく,tap her on the shoulder,彼女の肩を軽くたたく,(    ) her on the shoulder,彼女の肩を(    ),
701 ,,embrace,受け入れる,embrace a new idea,新しい考えを受け入れる,(    ) a new idea,新しい考えを(    ),
702 ,,proportion,比率,the proportion of boys to girls,男子と女子の比率,the (    ) of boys to girls,男子と女子の(    ),
703 ,,contract,契約,sign a contract with Google,グーグルとの契約にサインする,sign a (    ) with Google,グーグルとの(    )にサインする,
704 ,,chest,胸,have chest pains,胸が痛む,have (    ) pains,(    )が痛む,
705 ,,treasure,財宝,discover treasure,財宝を発見する,discover (    ),(    )を発見する,
706 ,,stock,株,the Tokyo stock market,東京株式市場,the Tokyo (    ) market,東京(    )式市場,
707 ,,facility,施設,public facilities,公共施設,public (    ),公共(    ),
708 ,,sum,お金,a large sum of money,多額のお金,a large (    ) of money,多額の(    ),
709 ,,rank,地位,a man of high rank,高い地位の人,a man of high (    ),高い(    )の人,
710 ,,democracy,民主国家,a modern democracy,近代民主国家,a modern (    ),近代(    ),
711 ,,emergency,救急,an emergency room,救急治療室,an (    ) room,(    )治療室,
712 ,,protest,抗議,a protest against war,戦争に対する抗議,a (    ) against war,戦争に対する(    ),
713 ,,immigrant,移民,immigrants from Mexico,メキシコからの移民,(    ) from Mexico,メキシコからの(    ),
714 ,,vehicle,手段,a vehicle for communication,意思伝達の手段,a (    ) for communication,意思伝達の(    ),
715 ,,routine,いつもの日課,a healthy daily routine,健康的ないつもの日課,a healthy daily (    ),健康的な(    ),
716 ,,stuff,もの,write really good stuff,本当によいものを書く,write really good (    ),本当によい(    )を書く,
717 ,,row,列,sit in the front row,最前列に座る,sit in the front (    ),最前(    )に座る,
718 ,,profile,プロフィール,your online profile,君のオンラインのプロフィール,your online (    ),君のオンラインの(    ),
719 ,,dawn,夜明け,leave home at dawn,夜明けに家を出る,leave home at (    ),(    )に家を出る,
720 ,,welfare,福祉,social welfare,社会福祉,social (    ),社会(    ),
721 ,,perspective,見方,see life from a new perspective,新しい見方で人生を考える,see life from a new (    ),新しい(    )で人生を考える,
722 ,,enthusiasm,情熱,his enthusiasm for soccer,彼のサッカーに対する情熱,his (    ) for soccer,彼のサッカーに対する(    ),
723 ,,faith,信頼,have faith in technology,技術を信頼する,have (    ) in technology,技術を(    )する,
724 ,,occupation,職業,a well-paid occupation,給料のよい職業,a well-paid (    ),給料のよい(    ),
725 ,,witness,目撃者,a witness to the accident,事故の目撃者,a (    ) to the accident,事故の(    ),
726 ,,kingdom,王国,the kingdom of Denmark,デンマーク王国,the (    ) of Denmark,デンマーク(    ),
727 ,,equivalent,相当するもの,There's no English equivalent to haiku.,俳句に相当するものは英語にない,There's no English (    ) to haiku.,俳句に(    )は英語にない,
728 ,,objective,目標,achieve the objective,目標を達成する,achieve the (    ),(    )を達成する,
729 ,,pile,積み重ね,put the plates in a pile,皿を積み重ねて置く,put the plates in a (    ),皿を(    )て置く,
730 ,,shelter,逃れる場所,find shelter from the cold,寒さから逃れる場所を見つける,find (    ) from the cold,寒さから(    )を見つける,
731 ,,trial,試行,trial and error,試行錯誤,(    ) and error,(    )錯誤,
732 ,,honor,名誉,It's a great honor to work here.,ここで働けるのは大変名誉です,It's a great (    ) to work here.,ここで働けるのは大変(    )です,
733 ,,territory,なわ張り,defend a territory,なわ張りを守る,defend a (    ),(    )を守る,
734 ,,frame,わく,a window frame,窓わく,a window (    ),窓(    ),
735 ,,border,国境,cross the Russian border,ロシア国境を越える,cross the Russian (    ),ロシア(    )を越える,
736 ,,statistics,統計,according to official statistics,公式の統計によると,according to official (    ),公式の(    )によると,
737 ,,enterprise,企業,a private enterprise,民間企業,a private (    ),民間(    ),
738 ,,context,文脈,the meaning in this context,この文脈における意味,the meaning in this (    ),この(    )における意味,
739 ,,load,荷物,carry a heavy load,重い荷物を運ぶ,carry a heavy (    ),重い(    )を運ぶ,
740 ,,grain,穀物,world grain production,世界の穀物生産高,world (    ) production,世界の(    )生産高,
741 ,,review,再検討,a review of the law,その法律の再検討,a (    ) of the law,その法律の(    ),
742 ,,prejudice,偏見,prejudice against women,女性に対する偏見,(    ) against women,女性に対する(    ),
743 ,,strain,負担,put a strain on the heart,心臓に負担をかける,put a (    ) on the heart,心臓に(    )をかける,
744 ,,trap,わな,fall into a trap,わなにはまる,fall into a (    ),(    )にはまる,
745 ,,temper,気性,have a quick temper,すぐかっとなる気性である,have a quick (    ),すぐかっとなる(    )である,
746 ,,slave,奴隷,a black slave,黒人の奴隷,a black (    ),黒人の(    ),
747 ,,wound,傷,a knife wound,ナイフの傷,a knife (    ),ナイフの(    ),
748 ,,divorce,離婚,an increase in the divorce rate,離婚率の増加,an increase in the (    ) rate,(    )率の増加,
749 ,,tune,曲,the beauty of the tune,その曲の美しさ,the beauty of the (    ),その(    )の美しさ,
750 ,,height,真っ盛り,Summer is at its height.,夏真っ盛りだ,Summer is at its (    ).,夏(    )だ,
751 ,,faculty,学部,the science faculty,理学部,the science (    ),理(    ),
752 ,,span,寿命,the average life span,平均寿命,the average life (    ),平均(    ),
753 ,,dimension,側面,the moral dimension of science,化学の道徳的側面,the moral (    ) of science,化学の道徳的(    ),
754 ,,version,版,the latest version of the software,そのソフトの最新版,the latest (    ) of the software,そのソフトの最新(    ),
755 ,,parallel,匹敵するもの,have no parallel in history,歴史上匹敵するものがない,have no (    ) in history,歴史上(    )がない,
756 ,,horizon,地平線,the moon rising on the horizon,地平線に昇る月,the moon rising on the (    ),(    )に昇る月,
757 ,,acquaintance,知人,friends and acquaintances,友人と知人,friends and (    ),友人と(    ),
758 ,,burden,重荷,become a burden on society,社会の重荷になる,become a (    ) on society,社会の(    )になる,
759 ,,basis,根拠,the scientific basis of his theory,彼の理論の科学的根拠,the scientific (    ) of his theory,彼の理論の科学的(    ),
760 ,,poison,毒,poison gas,毒ガス,(    ) gas,(    )ガス,
761 ,,constitution,憲法,the Constitution of Japan,日本国憲法,the (    ) of Japan,日本国(    ),
762 ,,administration,経営,business administration,企業の経営,business (    ),企業の(    ),
